Genus	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
Ignavigranum	11	19	2	25	16	2	5	0	0	1	3	0	4	1	2	2	26
Methanoculleus	27	5	0	0	0	10	43	2	0	10	0	4	6	0	0	4	8
Natronosalvus	13	17	0	2	0	10	37	5	11	9	2	0	2	1	3	1	6
Pseudactinotalea	25	2	3	5	5	4	4	5	6	41	1	6	1	2	0	1	8
Terricaulis	2	11	0	2	2	10	0	0	60	5	0	3	1	0	3	4	16
Anatilimnocola	0	10	2	7	4	13	4	2	5	17	9	2	4	0	3	0	36
Frischella	1	10	0	20	2	3	0	19	3	25	3	3	9	12	6	2	0
Ichthyobacterium	0	1	2	3	3	2	93	10	1	0	0	1	0	0	0	1	1
Kerstersia	4	7	4	13	5	3	3	11	10	11	1	4	11	0	11	8	12
Phaeodactylum	7	10	11	12	3	22	5	2	0	0	32	0	3	0	2	4	5
Sterolibacterium	2	24	2	49	3	4	1	8	3	4	0	0	5	2	5	1	5
Alloactinosynnema	7	7	4	9	5	4	19	2	11	13	0	7	9	0	1	2	17
Brettanomyces	10	7	4	7	14	12	0	0	0	2	7	34	4	4	2	4	6
Pulveribacter	4	24	0	0	26	19	2	1	1	9	0	26	1	0	0	1	3
Agreia	3	5	3	0	3	1	6	3	1	15	1	32	0	1	28	3	11
Allosaccharopolyspora	4	25	7	0	2	7	4	6	18	15	12	0	5	0	0	3	8
Candidatus_Uabimicrobium	0	8	14	2	4	26	2	4	4	4	0	0	8	10	14	6	10
Constantimarinum	6	17	14	23	11	33	0	1	1	0	0	1	0	3	2	2	2
Humibacter	2	4	1	6	7	1	18	3	3	27	7	1	13	1	19	1	2
Pseudochrobactrum	3	9	4	10	11	4	3	11	11	4	9	6	10	2	6	3	10
Pseudogulbenkiania	2	15	1	11	0	3	0	5	16	45	0	5	0	0	5	1	7
Hydrogenobacter	7	22	27	7	4	9	0	1	3	18	0	2	0	0	12	0	3
Leeuwenhoekiella	0	18	23	48	8	1	0	3	0	1	0	0	9	0	4	0	0
Methylobacillus	27	13	1	1	10	8	8	6	10	8	0	0	2	0	7	1	13
Nitrobacter	10	7	4	7	3	3	5	2	5	10	1	11	2	0	33	4	8
Planktothrix	11	22	3	4	3	8	2	6	4	1	20	12	1	0	8	1	9
Candidatus_Moranella	14	16	14	0	0	0	12	16	14	20	0	0	0	0	4	4	0
Olleya	2	21	3	17	21	24	0	1	0	0	0	0	4	0	9	12	0
Acetilactobacillus	3	6	4	1	5	4	1	4	6	4	1	1	31	0	13	1	28
Leminorella	2	7	24	29	5	1	13	2	1	14	0	0	1	0	1	0	13
Psychromonas	1	20	23	10	8	2	0	7	0	1	18	9	6	1	2	3	2
Botrytis	3	3	11	2	5	6	3	14	2	37	0	2	17	0	5	2	0
Drechmeria	4	16	17	14	11	10	1	0	6	7	3	1	6	0	2	10	4
Haematospirillum	20	2	1	4	0	1	1	21	2	51	1	1	6	0	0	0	1
Isoalcanivorax	4	6	3	4	4	5	1	5	5	23	0	5	10	0	13	9	15
Loktanella	2	10	3	3	11	9	8	4	5	15	5	13	7	0	1	1	15
Thalassobacter	1	3	8	2	1	2	0	1	16	1	67	0	1	0	2	0	7
Tritonibacter	3	20	6	5	7	10	4	3	1	11	0	1	16	4	15	3	3
Flagellimonas	8	11	15	21	9	5	0	7	2	0	0	7	7	6	3	5	5
Halalkalibacterium_(ex_Joshi_et_al._2022)	4	6	4	8	13	12	1	1	0	2	3	10	8	13	14	0	12
Neomicrococcus	9	7	11	4	2	9	6	1	10	2	0	13	10	0	10	9	8
Tepiditoga	6	16	17	3	1	6	0	2	0	1	14	3	16	11	6	7	2
Thermomicrobium	21	4	6	7	4	5	6	10	11	7	2	1	4	0	3	7	13
Waddlia	12	4	2	9	26	3	4	1	1	1	1	2	2	0	3	4	36
Anabaenopsis	4	10	2	7	4	10	0	8	28	12	2	2	4	5	5	6	1
Dermatophilus	2	18	3	1	2	3	0	3	0	3	1	0	0	2	8	1	63
Flagellatimonas	25	7	0	9	1	6	14	0	27	18	0	0	1	0	0	0	2
Anaplasma	5	10	14	22	4	2	7	4	0	2	0	5	16	0	8	6	4
Glaciibacter	2	11	1	9	9	8	3	8	8	16	4	9	8	0	3	7	3
Haloterrigena	3	5	6	2	2	9	2	6	9	20	29	2	4	1	5	3	1
Lentibacter	3	8	4	0	0	1	1	1	0	2	80	3	6	0	0	0	0
Plantibacter	6	9	0	3	4	10	5	2	1	20	4	11	4	4	11	8	7
Salaquimonas	15	15	15	6	1	8	1	2	3	4	1	3	13	0	2	13	7
Sulfuricurvum	2	8	1	18	10	19	1	8	4	10	0	3	21	0	1	0	3
Thermospira	5	22	14	1	4	1	6	7	5	1	0	0	1	4	7	1	30
Thiospirochaeta	4	18	17	15	8	5	0	6	1	0	1	6	2	1	11	7	7
Xylophilus	22	6	6	2	11	8	2	3	2	16	0	1	15	0	12	2	1
Acidothermus	2	7	7	1	10	14	6	7	2	17	7	0	3	0	7	5	13
Actinacidiphila	22	16	2	4	3	6	12	2	9	16	1	0	6	0	5	1	3
Anaerohalosphaera	7	20	10	4	7	5	0	7	7	9	1	11	16	1	0	0	3
Formicincola	1	13	2	8	5	13	0	4	11	3	0	5	15	0	2	14	12
Georhizobium	8	8	7	2	4	2	10	2	14	14	0	4	16	0	4	1	12
Haematobacter	28	8	1	0	8	2	26	9	5	14	0	1	0	0	1	1	4
Tolypothrix	4	7	6	1	6	3	0	17	5	3	0	15	3	3	2	3	30
Trichothermofontia	38	4	0	0	1	3	28	4	1	18	2	0	5	0	1	0	3
Hydrogenophilus	0	8	0	12	7	7	5	0	7	1	1	1	28	24	5	0	1
Methanocorpusculum	18	8	1	0	2	5	4	23	10	28	0	3	1	0	0	0	4
Nitrososphaera	1	10	0	16	14	5	4	4	6	3	0	32	2	0	1	9	0
Parasaccharibacter	10	18	1	2	1	0	4	2	7	55	0	2	1	0	1	0	3
Sulfolobus	3	14	7	6	1	12	0	0	0	1	4	16	8	31	3	1	0
Allomeiothermus	11	6	3	3	3	6	2	20	3	23	0	2	12	0	1	4	7
Flaviramulus	6	19	8	2	32	18	0	0	8	0	8	1	2	0	2	0	0
Pseudolysobacter	4	28	16	0	1	18	6	2	11	8	0	4	3	0	4	1	0
Filomicrobium	2	0	0	8	10	7	0	0	14	0	0	45	19	0	0	0	0
Methanogenium	3	1	0	0	3	16	0	3	3	1	0	1	18	2	3	0	51
Occultella	5	7	6	1	5	12	8	8	1	12	4	11	8	1	3	5	8
Thermochromatium	7	12	1	5	0	0	7	21	27	10	0	0	2	0	3	1	9
Zhihengliuella	37	1	1	1	0	0	13	0	0	51	0	0	0	0	0	0	1
Coxiella	5	4	25	0	5	0	0	14	10	22	0	1	2	0	11	0	5
Frigidibacter	18	4	4	1	9	2	7	6	8	23	0	2	4	5	2	3	6
Leptothrix	5	13	7	2	5	21	4	3	20	13	0	0	2	0	0	2	7
Paradevosia	6	7	1	24	3	0	4	4	14	32	0	0	6	0	1	0	2
Pochonia	4	2	3	24	6	5	3	3	19	5	5	4	10	4	4	2	1
Aquiluna	10	2	4	2	4	1	8	12	5	11	3	14	5	1	13	3	5
Lawsonella	4	5	12	1	17	5	4	1	1	27	5	2	8	6	3	1	1
Mucisphaera	5	13	3	10	24	2	0	6	2	6	1	7	11	0	7	2	4
Nitrincola	21	8	3	0	3	4	4	5	2	18	2	4	7	18	1	2	1
Pyruvatibacter	5	5	2	5	4	3	2	20	7	24	1	1	0	0	3	7	14
Thermothielavioides	4	14	0	20	12	9	2	4	0	1	2	1	17	0	7	9	1
Crocosphaera	4	10	9	7	2	14	0	11	1	2	1	2	16	0	10	0	13
Eremothecium	3	12	3	2	4	11	1	0	0	1	2	11	6	0	16	29	1
Haliscomenobacter	1	20	0	7	15	10	0	16	3	3	0	0	5	0	14	0	8
Mariniblastus	8	14	4	1	1	0	4	1	21	6	0	2	8	20	2	5	5
Thiomicrospira	6	13	4	2	7	15	3	17	5	3	0	3	8	0	4	4	8
Fuerstiella	4	6	6	9	7	7	3	1	2	12	0	6	8	4	0	11	15
Limnobacter	13	2	4	13	10	20	5	1	3	16	0	0	5	2	1	5	1
Luteipulveratus	3	7	0	19	10	1	8	2	0	7	7	19	1	4	0	3	10
Candidatus_Riesia	2	22	2	10	28	4	2	0	0	2	0	6	0	0	14	6	2
Dokdonia	2	16	4	20	29	3	0	3	1	4	0	1	2	1	0	0	14
Frigoribacterium	4	14	11	6	10	12	5	3	2	3	1	4	4	1	1	11	8
Halorientalis	8	5	4	6	4	3	8	6	1	8	35	3	7	0	0	0	2
Tabrizicola	29	8	5	0	9	14	0	0	4	1	0	4	4	2	10	1	9
Thermocrinis	14	26	19	1	3	2	2	1	3	5	0	0	1	1	6	0	16
Thermodesulfobium	0	7	6	38	2	6	0	3	2	5	8	3	6	2	2	2	8
Trichocoleus	5	51	5	3	4	8	1	1	1	11	0	0	1	0	2	3	4
Acetomicrobium	10	10	0	16	6	0	5	27	3	4	1	5	8	1	2	0	1
Roseinatronobacter	9	7	11	8	3	3	4	5	20	3	0	7	10	0	0	7	2
Thermocoleostomius	0	34	8	1	2	14	0	18	4	1	1	3	1	0	4	0	8
Abyssicoccus	0	28	22	6	0	4	0	0	0	0	2	8	13	1	12	1	0
Calditerrivibrio	2	3	13	3	5	4	2	3	0	1	4	29	9	5	3	4	7
Candidatus_Nitrosacidococcus	4	2	18	2	0	12	0	0	0	2	2	38	3	0	4	0	10
Halotia	1	3	2	27	3	24	0	1	0	0	5	8	16	5	2	0	0
Horticoccus	12	2	1	3	1	1	3	11	8	10	0	2	18	0	13	9	3
Otariodibacter	4	2	3	7	4	1	0	0	17	0	0	52	3	0	0	4	0
Paralysiella	12	9	6	1	2	7	9	4	7	13	1	6	1	4	6	5	4
Psychroflexus	0	0	3	11	9	5	0	2	2	7	28	4	9	0	10	0	7
Kosmotoga	5	10	13	7	0	2	2	16	3	16	0	2	9	0	1	1	9
Orientia	0	13	7	22	15	4	1	0	0	1	0	4	6	0	4	0	19
Pseudopuniceibacterium	9	16	1	8	9	7	0	4	3	15	2	1	5	0	6	8	2
Zophobihabitans	0	8	16	17	4	11	2	3	2	3	2	0	23	0	1	0	4
Amylibacter	0	2	0	16	8	0	0	11	0	30	9	5	3	2	5	0	4
Cyclonatronum	8	21	16	1	8	2	6	7	8	0	0	2	12	0	2	1	1
Halanaeroarchaeum	0	5	4	11	0	6	0	5	1	3	10	1	16	24	8	0	1
Luteimicrobium	24	2	5	0	6	4	14	6	8	4	5	8	2	1	4	2	0
Rickettsiella	0	5	4	50	3	3	0	7	2	1	2	1	10	0	2	3	2
Sediminibacterium	2	10	6	7	8	7	0	8	5	8	2	0	7	8	7	2	8
Thiopseudomonas	10	5	4	1	15	9	9	5	1	2	1	8	1	10	7	4	3
Atribacter	3	15	6	1	1	16	0	30	0	3	1	0	7	1	3	3	4
Candidatus_Pelagisphaera	0	0	0	10	2	0	0	0	38	44	0	0	0	0	0	0	0
Pandoravirus	23	5	2	5	1	2	1	20	6	8	3	6	5	1	3	2	1
Pedococcus	15	3	4	2	7	0	21	12	1	16	5	2	0	2	2	1	1
Hartmannibacter	3	9	1	29	3	5	0	1	12	6	10	2	1	0	5	1	5
Lacibacter	1	7	5	23	8	16	0	3	0	0	0	22	2	0	2	0	4
Periweissella	0	14	15	6	0	3	0	18	0	0	5	10	0	0	19	2	1
Pseudazoarcus	15	6	2	9	2	1	7	11	17	5	0	5	4	1	4	4	0
Candidatus_Puniceispirillum	6	16	4	0	2	2	44	2	0	0	0	0	2	0	4	2	8
Candidatus_Purcelliella	10	10	4	0	0	8	8	8	14	10	2	4	0	0	10	2	2
Marinimicrobium	0	3	2	1	4	15	7	0	5	16	0	0	0	5	10	13	11
Nitrosopumilus	2	6	0	15	1	12	0	0	0	2	2	3	39	0	3	5	2
Paremcibacter	5	34	1	3	2	7	2	7	11	5	0	5	2	0	5	0	3
Sinomicrobium	3	50	0	6	6	1	5	8	2	2	0	0	8	0	0	0	1
Steroidobacter	9	16	1	3	13	2	3	0	6	6	0	5	6	0	10	4	8
Thalassoglobus	0	16	8	3	18	16	1	3	2	0	7	4	1	3	3	0	7
Aequoribacter	1	4	9	0	6	1	1	0	1	1	0	50	7	0	4	6	0
Dabirmavirus	0	0	3	0	2	0	0	0	0	0	0	0	0	0	86	0	0
Desulfobacula	4	5	4	6	12	27	2	1	0	4	0	3	7	10	1	4	1
Methanothrix	9	2	4	0	2	0	2	21	13	31	0	6	0	0	0	0	1
Nanchangia	23	2	7	2	3	0	8	8	7	5	7	2	3	2	3	6	3
Quatrionicoccus	0	15	8	4	19	4	0	6	7	4	1	2	5	2	6	0	8
Aviadenovirus	0	19	0	6	27	12	0	0	5	1	0	20	0	0	0	0	0
Candidatus_Fervidibacter	6	16	0	2	0	6	0	4	32	4	0	2	4	0	6	6	2
Candidatus_Phycorickettsia	0	8	2	0	6	2	4	52	0	0	0	8	0	0	0	0	8
Conchiformibius	31	5	1	2	13	1	13	2	0	1	0	3	8	0	8	0	2
Croceimicrobium	5	6	10	20	4	2	0	1	0	29	0	0	8	0	4	0	1
Halolamina	2	3	0	2	0	2	4	5	1	1	0	0	2	1	0	0	67
Haloplanus	7	1	2	1	0	4	6	8	14	11	2	14	3	0	5	8	4
Microcystis	4	6	4	0	6	2	2	1	0	24	2	0	31	1	1	3	3
Pyrolobus	2	0	0	0	0	0	0	27	4	57	0	0	0	0	0	0	0
Asaia	5	5	1	4	7	4	1	2	12	4	4	4	19	0	10	6	1
Buorbuivirus	0	0	0	0	9	0	0	0	0	0	0	0	37	23	0	20	0
Maribius	0	7	20	2	2	7	3	1	1	2	0	10	7	0	14	0	13
Oecophyllibacter	15	0	2	1	0	3	4	6	3	7	0	6	9	19	9	5	0
Oxynema	7	3	3	3	15	16	1	2	28	5	0	3	1	0	0	0	2
Psychromicrobium	2	14	18	0	6	1	1	2	0	0	3	0	9	0	29	0	4
Psychrosphaera	5	7	1	6	11	23	0	0	14	0	0	16	1	0	1	1	3
Ephemeroptericola	3	16	0	42	11	6	2	3	2	0	0	0	0	0	0	1	2
Luteithermobacter	8	2	0	1	13	11	2	2	12	1	0	7	14	2	13	0	0
Magnetospira	6	7	1	1	2	9	0	30	5	11	0	8	1	0	0	2	5
Methylocapsa	9	19	1	21	0	2	2	4	22	1	0	1	1	0	0	0	5
Methylotenera	6	3	21	4	12	16	3	3	3	1	0	0	3	4	4	0	5
Persephonella	18	9	4	1	2	6	1	6	2	0	5	4	1	11	3	13	2
Rugosibacter	6	7	1	14	14	2	1	0	16	7	0	19	0	0	0	0	1
Thermosulfurimonas	18	3	4	0	1	7	8	0	2	4	33	0	2	0	0	4	2
Actibacterium	8	2	0	5	0	16	15	1	4	7	0	2	3	0	11	5	8
Lysinibacter	11	1	0	5	19	22	11	1	2	5	0	0	2	1	5	1	1
Rhizoctonia	4	8	3	1	11	5	0	3	2	4	8	4	8	0	15	2	9
Tateyamaria	10	12	1	13	0	4	6	4	13	1	0	8	0	0	2	5	8
Telmatocola	2	10	7	4	9	7	8	4	2	2	0	3	7	3	2	5	12
Trichormus	0	0	17	0	7	16	3	0	0	0	15	3	9	5	2	0	10
Candidatus_Doolittlea	4	10	0	0	2	14	24	8	10	12	0	0	0	0	2	0	0
Candidatus_Xiphinematobacter	6	38	8	8	2	2	0	16	2	0	0	0	0	0	2	2	0
Crinalium	3	0	0	5	19	8	1	2	1	0	0	1	13	7	8	3	15
Iocasia	1	5	2	4	4	7	0	0	1	0	20	6	12	20	3	1	0
Methanothermococcus	0	18	3	8	7	14	0	0	3	10	3	5	7	5	2	0	1
Skermania	1	10	2	14	4	4	2	14	7	4	0	4	6	1	4	8	1
Aegicerativicinus	16	0	1	9	5	10	4	0	31	1	0	2	3	1	1	0	1
Algicella	2	8	1	1	1	0	6	8	5	45	0	0	0	0	1	0	7
Euhalothece	4	4	6	1	6	34	2	0	1	0	1	5	7	3	2	5	4
Geovibrio	11	15	0	1	7	7	5	3	3	23	0	3	2	1	0	2	2
Hydrogenovibrio	5	26	9	1	0	3	0	0	4	1	0	6	4	0	8	6	12
Kluyveromyces	2	3	7	5	2	10	0	3	15	0	9	1	8	9	6	4	1
Scytonema	16	19	4	10	4	5	0	8	1	0	3	2	3	0	3	0	7
Actinosynnema	19	4	1	2	4	0	15	15	6	5	4	2	5	0	2	0	0
Allosphingosinicella	5	5	8	5	25	4	8	6	2	9	0	0	0	0	0	5	2
Candidatus_Desulfofervidus	2	6	10	2	12	14	0	0	0	0	0	32	6	0	0	0	0
Candidatus_Methanoplasma	8	2	12	2	0	2	2	2	10	28	4	2	0	0	4	4	2
Candidatus_Sneabacter	2	4	36	6	24	0	0	0	0	0	0	0	4	2	0	0	6
Gracilinema	0	5	3	6	1	8	0	6	2	22	3	0	12	4	1	2	9
Leptospirillum	4	8	27	10	0	2	1	13	1	2	0	4	5	0	1	0	6
Thermotomaculum	2	3	7	8	2	0	6	0	21	2	0	6	6	2	2	8	9
Candidatus_Nitrosotenuis	2	2	4	6	0	14	20	19	0	0	2	4	0	2	4	3	1
Marichromatium	27	10	0	1	1	3	3	5	16	6	0	0	7	0	3	0	1
Poriferisphaera	1	7	9	2	11	6	1	1	16	2	0	4	7	0	6	0	10
Stanieria	0	8	0	13	9	10	0	6	5	0	3	2	17	0	2	5	3
Sulfuriroseicoccus	10	1	1	1	26	5	4	3	21	6	0	0	0	2	2	0	1
Candidatus_Carsonella	2	4	44	2	2	6	2	4	6	4	6	0	0	0	0	0	0
Candidatus_Mycosynbacter	6	12	12	0	0	6	0	22	2	2	2	2	14	2	0	0	0
Crateriforma	3	8	6	5	6	12	2	2	10	0	0	8	5	0	8	4	3
Jahgtovirus	0	0	1	0	36	0	0	0	0	0	0	0	5	0	0	1	39
Longitalea	4	32	0	9	10	4	2	1	11	1	0	2	2	0	0	0	4
Mycoavidus	6	10	5	14	7	3	0	3	3	1	0	5	19	0	5	1	0
Oerskovia	1	18	2	0	1	4	3	1	15	22	3	2	0	0	2	0	8
Oricola	0	9	4	9	3	4	6	20	2	5	0	5	2	0	5	6	2
Casimicrobium	12	14	0	25	0	0	2	7	5	5	1	1	3	0	1	3	2
Cercospora	3	11	4	17	12	5	5	1	3	1	1	3	6	1	3	0	5
Chitinolyticbacter	3	12	6	11	10	13	9	0	5	7	0	2	2	0	0	0	1
Dactylococcopsis	0	5	5	3	2	1	1	0	61	0	0	0	2	0	0	0	1
Falsirhodobacter	8	2	2	0	3	3	4	3	16	10	3	6	0	0	5	1	15
Granulosicoccus	2	14	0	12	7	3	0	0	2	22	2	10	4	0	0	0	3
Haloferax	2	38	1	1	2	1	5	3	9	2	0	5	7	0	0	1	4
Halorhabdus	9	5	4	0	5	3	4	3	12	5	6	1	15	1	1	3	4
Halotalea	1	25	3	0	1	4	6	2	10	20	0	2	2	0	2	3	0
Natronococcus	12	10	3	5	4	5	4	3	8	7	1	2	5	0	4	7	1
Paenalkalicoccus	17	1	6	1	2	5	2	0	1	1	0	2	20	0	4	16	3
Pleurocapsa	4	9	6	23	5	4	0	3	0	6	0	1	8	0	7	1	4
Saccharolobus	0	16	8	4	0	15	11	0	0	1	0	13	4	0	8	0	1
Thermovirga	6	35	8	0	0	4	5	3	5	6	0	0	5	0	0	0	4
Calycomorphotria	3	16	5	1	0	3	0	12	8	10	0	1	10	0	4	4	3
Candidatus_Baumannia	6	2	6	0	4	0	4	10	6	8	0	0	8	0	8	0	18
Gynuella	32	4	6	1	6	1	4	3	0	0	0	7	3	0	12	1	0
Zymobacter	2	3	3	4	26	1	2	4	3	5	0	5	1	0	17	0	4
Abyssibius	2	22	4	6	3	0	0	3	14	6	0	1	2	0	8	2	6
Cyanobacterium	10	2	5	5	3	13	3	10	0	2	3	2	3	5	13	0	0
Desulfopila	6	19	2	2	1	4	10	3	9	10	0	1	4	6	0	2	0
Marisediminicola	9	4	2	0	8	2	11	2	13	6	3	15	1	1	0	0	2
Paenacidovorax	3	9	0	9	3	6	3	0	20	7	3	0	0	0	13	0	3
Candidatus_Atelocyanobacterium	2	0	8	0	14	4	0	6	0	0	0	2	4	2	2	32	2
Cylindrospermopsis	0	10	7	0	33	3	0	0	0	0	0	0	0	0	22	2	1
Methylovorus	5	0	30	4	22	3	0	1	3	5	0	1	0	0	4	0	0
Nibribacter	4	10	2	7	2	13	2	3	6	10	0	3	5	1	3	1	6
Salinispirillum	4	1	0	1	2	0	1	6	45	6	0	2	4	0	5	0	1
Sulfurihydrogenibium	2	9	15	2	11	3	3	0	0	1	0	12	1	3	12	4	0
Dongshaea	17	9	10	0	3	4	6	5	2	8	0	1	1	1	8	0	2
Hacihdavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
Ignicoccus	0	9	2	3	3	11	6	0	1	5	0	8	15	2	4	7	1
Lentisphaera	1	10	7	4	3	7	2	10	1	13	2	0	15	0	0	0	2
Muriicola	3	30	4	3	3	2	0	0	1	5	1	2	16	0	3	2	2
Salegentibacter	15	9	9	2	5	2	3	1	3	3	0	0	21	1	1	0	2
Trypanosoma	3	17	6	0	7	4	0	3	3	4	2	12	5	4	6	1	0
Wielerella	2	1	1	10	0	7	2	9	9	3	5	10	1	2	7	0	8
Yarrowia	4	13	9	12	7	9	1	3	1	5	3	0	5	1	0	4	0
Candidatus_Nanohalobium	0	4	2	2	0	4	0	0	0	0	16	0	8	36	0	4	0
Marivivens	19	9	3	2	0	2	4	6	4	6	3	4	3	2	1	5	3
Micavibrio	7	6	4	10	7	12	4	2	1	10	1	1	3	1	1	0	6
Parvibaculum	24	4	0	2	5	0	3	8	6	6	0	2	5	0	0	0	11
Gilvibacter	6	2	15	9	20	3	0	3	0	1	3	0	2	0	2	0	9
Glycocaulis	3	8	3	0	5	9	17	0	3	1	0	13	4	0	0	0	9
Hankyongella	4	6	6	4	2	5	11	7	14	0	2	6	1	0	1	6	0
Methanohalophilus	5	9	8	1	24	8	0	1	3	0	4	1	0	0	4	0	7
Neotabrizicola	4	8	1	0	4	4	3	10	15	5	0	5	6	0	2	5	3
Saprospira	0	2	4	6	0	8	2	13	13	0	2	1	15	3	5	0	1
Sulfodiicoccus	1	6	7	3	4	14	3	0	0	0	18	4	4	1	2	3	5
Thermosulfidibacter	3	5	0	1	4	3	0	0	1	5	0	0	2	0	0	0	51
Varunaivibrio	8	2	4	0	2	0	5	3	13	20	3	4	4	0	5	1	1
Hydrocarboniclastica	7	10	0	0	6	4	4	13	3	2	0	0	5	0	10	4	6
Mycetohabitans	0	7	1	20	13	0	2	0	18	3	3	3	0	2	0	2	0
Novosphingopyxis	2	3	5	1	0	3	4	12	18	4	0	7	6	0	4	1	4
Sideroxyarcus	3	5	3	14	4	15	5	3	0	5	0	5	3	1	2	4	2
Streptantibioticus	4	9	0	3	2	8	10	0	14	10	6	1	2	0	1	2	2
Thermoflavifilum	5	3	16	5	7	1	1	9	6	0	5	9	3	1	0	1	2
Commensalibacter	1	7	3	52	4	1	0	0	2	0	0	0	0	0	2	0	1
Halomicrobium	7	5	4	0	1	1	5	11	24	4	0	1	4	0	3	1	2
Inhella	5	12	3	21	6	2	1	1	2	6	0	3	3	0	2	1	5
Litorilituus	5	4	1	5	17	2	0	6	11	7	0	0	1	0	3	3	8
Paraurantiacibacter	3	10	0	0	1	4	19	14	6	0	0	3	2	0	0	7	4
Phormidium	4	14	0	12	5	3	3	8	2	10	0	0	0	0	5	2	5
Salinisphaera	11	3	5	0	5	2	6	5	4	12	1	0	7	0	6	1	5
Alphabaculovirus	4	10	5	22	4	0	4	0	6	0	2	6	3	3	0	2	1
Chondrocystis	1	11	7	17	16	10	1	0	1	0	0	0	3	1	2	2	0
Defluviitoga	3	14	10	6	14	1	0	0	5	1	4	0	3	2	8	0	1
Diaminobutyricimonas	4	2	6	1	1	2	2	16	0	1	1	0	2	1	14	19	0
Entomobacter	7	5	4	3	3	8	2	2	7	16	0	0	4	1	7	2	1
Ferriphaselus	18	9	7	0	0	5	0	0	5	11	1	0	11	0	5	0	0
Mycoplasmoides	5	9	1	3	2	0	0	0	12	1	0	6	7	0	5	4	17
Pseudorhodoplanes	3	15	5	6	6	4	5	1	4	1	2	6	1	0	1	9	3
Silvanigrella	1	17	0	1	2	2	0	1	2	0	0	4	15	16	0	4	7
Venatoribacter	8	1	1	10	1	1	14	9	5	11	1	0	1	0	1	5	3
Beijerinckia	6	19	0	6	1	14	2	3	6	6	1	0	2	0	0	0	5
Chroococcidiopsis	5	4	6	1	11	2	9	1	0	1	6	4	5	9	2	4	1
Citromicrobium	2	1	0	1	1	3	0	4	6	30	0	0	2	0	0	0	21
Gryllotalpicola	4	5	6	1	1	4	1	0	1	4	1	18	6	0	0	0	19
Methylovulum	5	0	0	6	5	4	3	7	1	5	14	1	1	0	0	0	19
Natrononativus	2	2	1	1	0	3	0	2	7	2	48	0	1	0	1	0	1
Pseudidiomarina	0	2	5	1	8	14	0	0	3	1	6	0	1	3	8	10	9
Allobranchiibius	4	7	4	2	5	2	5	9	1	8	0	5	3	2	0	1	12
Aristophania	1	1	2	3	3	10	0	0	0	1	0	0	23	0	20	0	6
Pukyongia	6	7	6	1	1	3	4	8	16	0	3	3	3	0	3	0	6
Actinopolyspora	3	3	1	0	0	2	0	3	1	4	8	13	12	0	12	6	1
Dichelobacter	2	1	0	9	0	12	0	2	25	2	1	2	7	0	3	1	2
Fluviicola	2	2	2	18	22	10	0	2	3	0	2	0	1	1	2	0	2
Halothece	6	7	0	20	3	12	0	2	0	1	0	0	9	0	8	0	1
Magnetococcus	7	4	1	7	5	5	0	0	3	9	0	4	9	0	8	3	4
Methanosalsum	9	1	3	0	0	11	0	1	6	0	5	7	4	20	1	1	0
Woeseia	0	0	0	7	10	6	0	7	2	6	0	2	4	0	8	4	13
Aquisediminimonas	7	6	5	4	8	1	19	0	1	7	0	0	4	0	2	1	3
Candidatus_Paraluminiphilus	8	8	0	2	10	16	2	2	8	2	0	8	0	0	2	0	0
Ectothiorhodosinus	20	7	4	1	0	1	2	2	2	2	6	1	6	10	4	0	0
Pacificitalea	14	14	4	2	2	2	2	1	2	1	2	3	10	0	1	6	2
Parasedimentitalea	1	4	3	3	2	2	1	5	16	5	4	0	4	1	4	3	10
Chamaesiphon	6	9	31	0	0	2	2	2	6	1	0	2	0	0	1	2	3
Flexistipes	3	9	3	2	2	3	11	9	4	4	2	2	7	0	6	0	0
Glaciimonas	2	5	10	0	2	6	1	1	6	4	6	0	7	3	1	10	3
Jonesia	5	7	2	1	8	4	0	0	3	0	1	6	9	5	6	8	2
Rippkaea	0	0	6	2	20	35	0	0	0	0	0	1	2	0	0	0	1
Salinigranum	0	6	2	0	11	4	9	0	4	10	1	4	7	0	1	6	2
Simiduia	2	6	6	7	12	3	0	6	1	5	0	1	3	0	5	2	8
Sugiyamaella	6	7	6	3	11	5	0	3	2	2	7	7	3	0	2	2	0
Thalassococcus	8	5	0	0	4	3	4	2	3	9	0	2	1	0	0	1	24
Thermobaculum	4	17	1	0	4	4	5	2	0	2	0	5	19	0	2	0	1
Desulfobacca	4	5	1	5	6	6	1	2	15	5	0	0	0	0	3	2	10
Imtechella	1	31	7	0	8	10	0	4	0	2	0	0	0	0	0	0	2
Salinilacihabitans	5	15	10	7	7	1	0	4	1	4	0	1	1	0	5	1	3
Aquaspirillum	1	3	4	0	3	1	26	0	1	7	2	0	2	0	1	0	13
Candidatus_Protochlamydia	2	10	0	4	0	0	2	6	4	0	0	10	20	0	6	0	0
Curvibacter	4	4	8	1	6	0	2	2	2	0	3	2	4	0	8	1	17
Limnobaculum	2	7	22	0	2	3	0	2	4	4	2	6	1	0	6	0	3
Marasmius	2	9	2	15	3	3	0	0	2	4	1	5	6	0	3	4	5
