Genus	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
g__GGB9495	0	0.0213	0	0	0	0	0	0	0	0.00241	0	0	0	0	0	0	0	0.23454
g__Barnesiella	0.03137	0.00294	0	0	0	0	0.2034	0	0	0	0	0	0.00417	0.00309	0	0	0	0.01252
g__Raoultibacter	0.01225	0	0.00352	0	0	0	0	0	0	0	0.10794	0	0.00412	0.10726	0	0	0.00992	0
g__GGB4386	0	0	0	0.03805	0	0.03216	0	0	0	0	0	0.16919	0	0	0	0	0	0
g__Gordonibacter	0	0	0	0	0.01164	0	0	0	0	0	0.01542	0.0013	0.03318	0.16836	0	0.009	0	0
g__GGB3730	0	0	0	0.03995	0.03214	0	0	0	0	0	0	0	0	0.08695	0	0	0.06873	0
g__GGB4559	0	0	0.22614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB9787	0	0.01231	0.01539	0	0	0	0	0.16474	0	0	0.03276	0	0	0	0	0	0	0
g__GGB6512	0	0	0	0	0	0	0	0	0.22413	0	0	0	0	0	0	0	0	0
g__GGB9719	0.12094	0.01359	0.003	0.00266	0	0	0	0.0202	0	0.00082	0.05189	0	0	0.00095	0	0	0	0.00482
g__GGB33586	0	0	0	0	0	0	0	0	0	0.21849	0	0	0	0	0	0	0	0
g__GGB34228	0	0.0381	0.05926	0.02553	0.07703	0	0.01467	0	0	0	0	0	0	0	0	0	0	0
g__Turicibacter	0	0	0	0.03546	0.02508	0	0	0	0	0	0	0.12066	0	0	0	0	0.02815	0.00105
g__GGB45432	0.2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__GGB80140	0	0.20671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Marseilla	0	0.00231	0	0	0	0	0	0	0	0.20144	0	0	0	0	0	0	0	0
g__Rheinheimera	0	0	0.03092	0.01414	0	0.03629	0	0	0	0.00606	0.00933	0	0	0	0	0	0	0.10177
g__GGB9782	0	0	0	0	0	0	0	0	0.1876	0.00903	0	0	0	0	0	0	0	0
g__Anaerotruncus	0	0.01689	0.05722	0	0	0	0	0.01343	0.02242	0.02713	0.0157	0	0	0	0	0	0	0.04302
g__Amedibacillus	0	0	0	0.00069	0	0	0	0	0	0	0	0.19414	0	0	0	0	0	0
g__GGB1663	0	0.04855	0.04757	0.04473	0	0.00163	0	0.03631	0	0	0	0	0	0.00586	0	0	0.00058	0.00654
g__GGB2958	0	0.0244	0.15541	0	0	0	0	0	0	0	0.01154	0	0	0	0	0	0	0
g__GGB3271	0.19065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Victivallis	0	0	0	0	0	0	0	0	0	0	0.18958	0	0	0	0	0	0	0
